"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"11171","火箭队(#4)","个人办公（前八）(#165)","","会议管理：不能申请过去时间的会议","登录成功","1. 点击个人办公
2. 点击会议管理
3. 点击会议申请
4. 填写会议信息（会议时间是过去的时间）
5. 点击保存信息
","1. 出现个人办公界面
2. 出现会议管理界面
3. 出现会议申请界面
4. 填写会议信息完成
5. 提示：会议时间不合法
","1. 
2. 
3. 
4. 
5. 会议信息操作成功
","","3","功能测试","","正常","1","1","5","失败","刘海迪","2018-12-12","","0000-00-00","1","",""
"11005","火箭队(#4)","个人办公（前八）(#165)","","会议管理：会议审批人员拒绝后会议状态变为拒绝","1.登录成功2.有会议信息3.有会议室4.有可选择出席人","1. 点击个人办公
2. 点击会议管理
3. 点击会议申请
4. 添加会议信息
5. 点击保存
6. 点击退出
7. 登录审批人账号
8. 点击个人办公
9. 点击会议管理
10. 点击拒绝
","1. 出现个人办公页面
2. 出现会议管理页面
3. 出现会议申请页面
4. 添加完成
5. 提示：会议信息操作成功
6. 出现登录页面
7. 可以看到会议消息
8. 出现个人办公页面
9. 出现会议列表
10. 会议状态变为拒绝
","","","3","功能测试","","正常","0","1","10","通过","刘海迪","2018-12-05","刘海迪","2018-12-05","2","",""
"11000","火箭队(#4)","个人办公（前八）(#165)","","任务管理：新建任务中任务名称只有空格也算为空","登录成功","1. 点击个人办公
2. 点击任务管理
3. 点击新建任务
4. 输入任务编号为”20181205081151“
5. 输入任务名称为“ ”
6. 输入任务开始时间为“2018-12-05”
7. 输入任务结束时间为“2018-12-05”
8. 选择执行人“1”
9. 输入任务描述“dsdf”
10. 点击保存信息
","1. 出现个人办公界面
2. 出现任务管理界面
3. 出现新建任务界面
4. 输入完成
5. 输入完成
6. 输入完成
7. 输入完成
8. 选择完成
9. 输入完成
10. 提示“任务名称不能为空”
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 任务信息操作成功
","","3","功能测试","","正常","2","2","10","失败","刘海迪","2018-12-05","","0000-00-00","1","",""
"10998","火箭队(#4)","个人办公（前八）(#165)","","任务管理：新建任务不能新建已有的任务编号","登录成功
已有“2011205081151”任务编号","1. 点击个人办公
2. 点击任务管理
3. 点击新建任务
4. 输入任务编号为”20181205081151“
5. 输入任务名称为“任务1”
6. 输入任务开始时间为“2018-12-05”
7. 输入任务结束时间为空
8. 选择任务执行人
9. 输入任务描述“dskd”
10. 点击保存信息
","1. 出现个人办公界面
2. 出现任务管理界面
3. 出现新建任务界面
4. 输入完成
5. 输入完成
6. 输入完成
7. 输入完成
8. 选择完成
9. 输入完成
10. 提示“已有此任务编号”
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 任务信息操作成功
","","3","功能测试","","正常","2","1","10","失败","刘海迪","2018-12-05","","0000-00-00","1","",""
"10986","火箭队(#4)","个人办公（前八）(#165)","","任务管理：新建任务中任务描述不能为空","登录成功","1. 点击个人办公
2. 点击任务管理
3. 点击新建任务
4. 输入任务编号为”20181205081151“
5. 输入任务名称为“任务1”
6. 输入任务开始时间为“2018-12-05”
7. 输入任务结束时间为“2018-12-05”
8. 选择任务执行人
9. 输入任务描述为空
10. 点击保存信息
","1. 出现个人办公界面
2. 出现任务管理界面
3. 出现新建任务界面
4. 输入完成
5. 输入完成
6. 输入完成
7. 输入完成
8. 选择完成
9. 输入完成
10. 提示“任务描述不能为空”
","","","3","功能测试","","正常","0","1","10","通过","刘海迪","2018-12-05","刘海迪","2018-12-05","2","",""
"10984","火箭队(#4)","个人办公（前八）(#165)","","任务管理：新建任务中任务执行人不能为空","登录成功","1. 点击个人办公
2. 点击任务管理
3. 点击新建任务
4. 输入任务编号为”20181205081151“
5. 输入任务名称为“任务1”
6. 输入任务开始时间为“2018-12-05”
7. 输入任务结束时间为“2018-12-05”
8. 输入任务描述“dsdf”
9. 点击保存信息
","1. 出现个人办公界面
2. 出现任务管理界面
3. 出现新建任务界面
4. 输入完成
5. 输入完成
6. 输入完成
7. 输入完成
8. 输入完成
9. 提示“执行人不能为空”
","","","3","功能测试","","正常","0","1","9","通过","刘海迪","2018-12-05","刘海迪","2018-12-05","2","",""
"10983","火箭队(#4)","个人办公（前八）(#165)","","任务管理：新建任务中任务结束时间不能为空","登录成功","1. 点击个人办公
2. 点击任务管理
3. 点击新建任务
4. 输入任务编号为”20181205081151“
5. 输入任务名称为“任务1”
6. 输入任务开始时间为“2018-12-05”
7. 输入任务结束时间为空
8. 选择执行人“1”
9. 输入任务描述“dsdf”
10. 点击保存信息
","1. 出现个人办公界面
2. 出现任务管理界面
3. 出现新建任务界面
4. 输入完成
5. 输入完成
6. 输入完成
7. 输入完成
8. 选择完成
9. 输入完成
10. 提示“任务结束时间不能为空”
","","","3","功能测试","","正常","0","1","10","通过","刘海迪","2018-12-05","","0000-00-00","1","",""
"10982","火箭队(#4)","个人办公（前八）(#165)","","任务管理：新建任务中任务开始时间不能为空","登录成功","1. 点击个人办公
2. 点击任务管理
3. 点击新建任务
4. 输入任务编号为”20181205081151“
5. 输入任务名称为“任务1”
6. 输入任务开始时间为空
7. 输入任务结束时间为“2018-12-05”
8. 选择执行人“1”
9. 输入任务描述“dsdf”
10. 点击保存信息
","1. 出现个人办公界面
2. 出现任务管理界面
3. 出现新建任务界面
4. 输入完成
5. 输入完成
6. 输入完成
7. 输入完成
8. 选择完成
9. 输入完成
10. 提示“任务开始时间不能为空”
","","","3","功能测试","","正常","0","1","10","通过","刘海迪","2018-12-05","","0000-00-00","1","",""
"10981","火箭队(#4)","个人办公（前八）(#165)","","任务管理：新建任务中任务名称不能为空","登录成功","1. 点击个人办公
2. 点击任务管理
3. 点击新建任务
4. 输入任务编号为”20181205081151“
5. 输入任务名称为空
6. 输入任务开始时间为“2018-12-05”
7. 输入任务结束时间为“2018-12-05”
8. 选择执行人“1”
9. 输入任务描述“dsdf”
10. 点击保存信息
","1. 出现个人办公界面
2. 出现任务管理界面
3. 出现新建任务界面
4. 输入完成
5. 输入完成
6. 输入完成
7. 输入完成
8. 选择完成
9. 输入完成
10. 提示“任务名称不能为空”
","","","3","功能测试","","正常","0","1","10","通过","刘海迪","2018-12-05","","0000-00-00","1","",""
"10979","火箭队(#4)","个人办公（前八）(#165)","","任务管理：新建任务中任务编号不能为空","登录成功","1. 点击个人办公
2. 点击任务管理
3. 点击新建任务
4. 输入任务编号为空
5. 输入任务名称为“任务1”
6. 输入任务开始时间为“2018-12-05”
7. 输入任务结束时间为“2018-12-05”
8. 选择执行人“1”
9. 输入任务描述“dsdf”
10. 点击保存信息
","1. 出现个人办公界面
2. 出现任务管理界面
3. 出现新建任务界面
4. 输入完成
5. 输入完成
6. 输入完成
7. 输入完成
8. 选择完成
9. 输入完成
10. 提示“任务编号不能为空”
","","","3","功能测试","","正常","0","1","10","通过","刘海迪","2018-12-05","刘海迪","2018-12-05","1","",""
